RK,TEAM,TOTAL_DVOA,LAST_YEAR,WEI_DVOA,RK,W-L,OFF_DVOA,OFF_RK,DEF_DVOA,DEF_RK,ST_DVOA,ST_RK
1,BUF,35.0%,2,34.9%,2,13-3,17.0%,2,-11.8%,4,5.0%,1
2,SF,27.6%,6,38.4%,1,13-4,13.2%,6,-14.1%,1,-0.2%,15
3,PHI,25.2%,15,21.7%,5,14-3,15.1%,3,-9.7%,6,0.5%,13
4,KC,23.0%,7,29.7%,3,14-3,25.2%,1,1.4%,17,-0.9%,19
5,CIN,19.1%,17,25.9%,4,12-4,14.2%,4,-4.4%,11,-0.5%,18
6,DAL,18.0%,1,13.7%,7,12-5,2.9%,15,-13.3%,2,1.6%,10
7,BAL,17.9%,19,10.0%,8,10-7,6.6%,12,-7.3%,7,4.0%,3
8,MIA,8.1%,25,5.9%,12,9-8,12.0%,7,0.8%,15,-3.1%,28
9,DET,7.7%,29,15.2%,6,9-8,13.3%,5,7.3%,28,1.8%,9
10,SEA,5.8%,9,4.1%,15,9-8,4.8%,14,2.9%,21,3.9%,4
11,CLE,5.2%,13,7.9%,10,7-10,8.6%,8,3.9%,23,0.5%,14
12,GB,3.6%,8,8.5%,9,8-9,6.7%,11,2.7%,20,-0.5%,17
13,JAX,3.3%,32,5.2%,13,9-8,7.7%,9,6.1%,26,-1.7%,11
14,PIT,0.9%,23,5.7%,14,9-8,-0.1%,18,-3.5%,12,-2.4%,27
15,NE,-0.3%,4,-3.8%,20,8-9,-8.5%,24,-12.4%,3,-4.3%,32
16,NYJ,-0.5%,26,-2.8%,19,7-10,-9.6%,26,-10.1%,5,-1.0%,21
17,TB,-0.7%,3,-11.0%,25,8-9,0.4%,16,-2.9%,13,-4.0%,31
18,LAC,-0.8%,12,2.2%,16,10-7,-1.9%,19,1.1%,16,2.2%,6
19,NO,-1.7%,14,7.2%,11,7-10,-7.0%,22,-6.9%,8,-1.6%,25
20,ATL,-2.8%,30,-4.8%,21,7-10,5.8%,13,11.1%,30,2.5%,5
21,NYG,-4.3%,31,0.5%,18,9-7-1,7.1%,10,10.2%,29,-1.2%,22
22,WAS,-4.9%,22,0.0%,17,8-8-1,-12.4%,28,-5.4%,9,2.0%,7
23,TEN,-9.4%,20,-14.0%,27,7-10,-6.1%,21,1.8%,19,-1.5%,24
24,LAR,-11.0%,5,-7.8%,22,5-12,-8.1%,23,1.6%,18,-1.3%,23
25,DEN,-11.3%,18,-13.8%,26,5-12,-13.0%,29,-5.2%,10,-3.4%,29
26,LV,-11.5%,21,-9.0%,24,6-11,0.3%,17,13.0%,31,1.1%,12
27,MIN,-13.8%,16,-18.6%,28,13-4,-3.3%,20,6.7%,27,-3.8%,30
28,CAR,-13.9%,27,-8.8%,23,7-10,-10.0%,27,5.8%,25,1.9%,8
29,ARI,-22.4%,10,-20.5%,29,4-13,-15.9%,30,5.5%,24,-1.0%,20
30,CHI,-26.6%,24,-32.4%,31,3-14,-8.7%,25,17.9%,32,0.0%,16
31,HOU,-26.7%,28,-22.5%,30,3-13-1,-27.6%,31,3.2%,22,4.0%,2
32,IND,-32.8%,11,-36.1%,32,4-12-1,-31.7%,32,-0.9%,14,-1.9%,26
